.9236,0.0037
0.2129,-0.9680,-0.0334
0.2231,-0.9741,-0.0327
0.2283,-0.9822,-0.0300
0.2324,-0.9863,-0.0305
0.2380,-0.9861,-0.0308
0.2461,-0.9805,-0.0291
0.2559,-0.9771,-0.0295
0.2632,-0.9780,-0.0303
0.2688,-0.9763,-0.0300
0.2708,-0.9724,-0.0247
0.2676,-0.9758,-0.0251
0.2629,-0.9817,-0.0305
0.2595,-0.9832,-0.0327
0.2568,-0.9829,-0.0366
0.2534,-0.9807,-0.0369
0.2495,-0.9780,-0.0349
0.2449,-0.9731,-0.0361
0.2390,-0.9661,-0.0391
0.2368,-0.9607,-0.0422
0.2380,-0.9551,-0.0415
0.2402,-0.9553,-0.0388
0.2410,-0.9619,-0.0376
0.2405,-0.9609,-0.0381
0.2434,-0.9561,-0.0430
0.2405,-0.9568,-0.0427
0.2324,-0.9597,-0.0396
0.2297,-0.9558,-0.0439
0.2324,-0.9495,-0.0420
0.2385,-0.9517,-0.0378
0.2397,-0.9587,-0.0391
0.2336,-0.9661,-0.0374
0.2312,-0.9680,-0.0344
0.2361,-0.9673,-0.0349
0.2415,-0.9675,-0.0422
0.2437,-0.9629,-0.0486
0.2466,-0.9634,-0.0571
0.2473,-0.9692,-0.0605
0.2458,-0.9722,-0.0537
0.2454,-0.9709,-0.0493
0.2454,-0.9709,-0.0498
0.2432,-0.9709,-0.0474
0.2405,-0.9680,-0.0503
0.2407,-0.9653,-0.0579
0.2417,-0.9626,-0.0625
0.2417,-0.9590,-0.0630
0.2427,-0.9578,-0.0630
0.2454,-0.9573,-0.0623
0.2485,-0.9573,-0.0610
0.2520,-0.9580,-0.0620
0.2520,-0.9580,-0.0635
0.2488,-0.9561,-0.0679
0.2456,-0.9502,-0.0691
0.2441,-0.9509,-0.0701
0.2439,-0.9553,-0.0723
0.2419,-0.9563,-0.0713
0.2429,-0.9583,-0.0752
0.2473,-0.9619,-0.0820
0.2461,-0.9685,-0.0828
0.2419,-0.9731,-0.0786
0.2410,-0.9717,-0.0776
0.2390,-0.9685,-0.0762
0.2361,-0.9658,-0.0762
0.2327,-0.9622,-0.0815
0.2305,-0.9604,-0.0835
0.2310,-0.9626,-0.0820
0.2310,-0.9680,-0.0791
0.2327,-0.9724,-0.0774
0.2327,-0.9736,-0.0757
0.2290,-0.9702,-0.0759
0.2266,-0.9631,-0.0789
0.2251,-0.9600,-0.0786
0.2229,-0.9563,-0.0754
0.2224,-0.9556,-0.0767
0.2224,-0.9595,-0.0774
0.2253,-0.9619,-0.0759
0.2263,-0.9680,-0.0740
0.2246,-0.9727,-0.0703
0.2263,-0.9709,-0.0679
0.2261,-0.9692,-0.0696
0.2288,-0.9656,-0.0710
0.2322,-0.9617,-0.0698
0.2380,-0.9609,-0.0723
0.2417,-0.9646,-0.0732
0.2427,-0.9700,-0.0688
0.2429,-0.9749,-0.0659
